2013/07/02 12:26:47:594  INFO:   Loaded Symbol File C:\ISV System\Config\FirmwareSymbols\build33136.sym for firmware Build #33136
2013/07/02 12:26:47:657  INFO:   CommunicationSystemLog properties: .\CommunicationSystem.logger.properties
2013/07/02 12:26:47:657  INFO:   CommunicationSystemLog log       : .\logs\prbCalTxScriptLog 2013.07.02 12.26.47_CommunicationSystem.Log
2013/07/02 12:26:55:343  INFO:   Setting the event sink for ScriptEngineProcedure
2013/07/02 12:26:55:343  INFO:   Program parameters checks are enabled
2013/07/02 12:26:55:359  INFO:   ********************************************************************************
2013/07/02 12:26:55:359  INFO:   Starting ScriptEngineProcedure, Assembly  version 
2013/07/02 12:26:55:374  INFO:   Config: ICD (NCommunicationSystem ver: nCommunicationSystem, Version=1.8.2.1, Culture=neutral, PublicKeyToken=56b5378c99c0bcfd; FTDI Driver ver: 2.08.28.0; PRB FPGA ver: 18)
2013/07/02 12:26:55:374  INFO:   Setting the radio board transmit power to level 0x7.
2013/07/02 12:26:55:374  INFO:   Radio board power level set to 7.
2013/07/02 12:26:55:374  INFO:   ECG Timeout Interval set to 10 seconds.
2013/07/02 12:26:55:374  STATE:  Changing state to ScriptExecStateMachine.WaitForNextCmdState, ID[1]
2013/07/02 12:26:55:374  INFO:   FwDvtSystem Started the event processing thread
2013/07/02 12:26:55:421  ACTION: Read PRB FPGA: Address=0x3000 Data=0x12
2013/07/02 12:26:55:468  RESULT: FPGA 0x3000 Expected: 18 Actual: 18
2013/07/02 12:26:55:624  ACTION: Calibrate CC1020
2013/07/02 12:26:55:702  INFO:   CC1020 calibration passed
2013/07/02 12:26:55:718  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/02 12:26:55:718  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/07/02 12:26:55:718  ACTION: Read C1020: Address 0x06 Data=0x21
2013/07/02 12:26:55:718  ACTION: Read C1020: Address 0x07 Data=0x38
2013/07/02 12:26:55:734  ACTION: Read C1020: Address 0x08 Data=0x35
2013/07/02 12:26:55:734  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/07/02 12:26:55:734  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/07/02 12:26:55:734  ACTION: Read C1020: Address 0x0B Data=0x38
2013/07/02 12:26:55:734  ACTION: Read C1020: Address 0x1D Data=0x00
2013/07/02 12:26:55:749  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/07/02 12:26:55:749  ACTION: Read C1020: Address 0x46 Data=0x66
2013/07/02 12:26:55:749  ACTION: Read C1020: Address 0x47 Data=0x44
2013/07/02 12:27:08:732  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/07/02 12:27:08:732  ACTION: Write PRB FPGA: Address=0x3026 Data=0xD8
2013/07/02 12:27:08:732  ACTION: Write PRB FPGA: Address=0x3028 Data=0x15
2013/07/02 12:27:08:732  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/07/02 12:27:08:732  ACTION: Write PRB FPGA: Address=0x302E Data=0xE2
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x3030 Data=0xBF
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x305E Data=0x35
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x3060 Data=0xD8
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x3062 Data=0x15
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x3066 Data=0x35
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x3068 Data=0xE2
2013/07/02 12:27:08:748  ACTION: Write PRB FPGA: Address=0x306A Data=0xBF
2013/07/02 12:27:08:748  ACTION: Calibrate CC1020
2013/07/02 12:27:08:841  INFO:   CC1020 calibration passed
2013/07/02 12:27:09:154  ACTION: Read PRB FPGA: Address=0x2012 Data=0x00
2013/07/02 12:27:09:154  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/02 12:27:09:154  ACTION: Read C1020: Address 0x05 Data=0xD8
2013/07/02 12:27:09:154  ACTION: Read C1020: Address 0x06 Data=0x15
2013/07/02 12:27:09:154  ACTION: Read C1020: Address 0x07 Data=0x38
