2013/07/09 15:32:54:003  INFO:   Loaded Symbol File C:\ISV System\Config\FirmwareSymbols\build33136.sym for firmware Build #33136
2013/07/09 15:32:54:065  INFO:   CommunicationSystemLog properties: .\CommunicationSystem.logger.properties
2013/07/09 15:32:54:065  INFO:   CommunicationSystemLog log       : .\logs\prbCalTxScriptLog 2013.07.09 15.32.53_CommunicationSystem.Log
2013/07/09 15:33:01:846  INFO:   Setting the event sink for ScriptEngineProcedure
2013/07/09 15:33:01:846  INFO:   Program parameters checks are enabled
2013/07/09 15:33:01:862  INFO:   ********************************************************************************
2013/07/09 15:33:01:862  INFO:   Starting ScriptEngineProcedure, Assembly  version 
2013/07/09 15:33:01:878  INFO:   Config: ICD (NCommunicationSystem ver: nCommunicationSystem, Version=1.8.2.1, Culture=neutral, PublicKeyToken=56b5378c99c0bcfd; FTDI Driver ver: 2.08.28.0; PRB FPGA ver: 18)
2013/07/09 15:33:01:878  INFO:   Setting the radio board transmit power to level 0x7.
2013/07/09 15:33:01:878  INFO:   Radio board power level set to 7.
2013/07/09 15:33:01:878  INFO:   ECG Timeout Interval set to 10 seconds.
2013/07/09 15:33:01:878  STATE:  Changing state to ScriptExecStateMachine.WaitForNextCmdState, ID[1]
2013/07/09 15:33:01:878  INFO:   FwDvtSystem Started the event processing thread
2013/07/09 15:33:01:940  ACTION: Read PRB FPGA: Address=0x3000 Data=0x12
2013/07/09 15:33:01:971  RESULT: FPGA 0x3000 Expected: 18 Actual: 18
2013/07/09 15:33:02:112  ACTION: Calibrate CC1020
2013/07/09 15:33:02:206  INFO:   CC1020 calibration passed
2013/07/09 15:33:02:221  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/09 15:33:02:221  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/07/09 15:33:02:221  ACTION: Read C1020: Address 0x06 Data=0x21
2013/07/09 15:33:02:221  ACTION: Read C1020: Address 0x07 Data=0x38
2013/07/09 15:33:02:221  ACTION: Read C1020: Address 0x08 Data=0x35
2013/07/09 15:33:02:237  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/07/09 15:33:02:237  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/07/09 15:33:02:237  ACTION: Read C1020: Address 0x0B Data=0x38
2013/07/09 15:33:02:237  ACTION: Read C1020: Address 0x1D Data=0x00
2013/07/09 15:33:02:237  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/07/09 15:33:02:253  ACTION: Read C1020: Address 0x46 Data=0x66
2013/07/09 15:33:02:253  ACTION: Read C1020: Address 0x47 Data=0x44
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x3026 Data=0xD8
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x3028 Data=0x15
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x302E Data=0xE2
2013/07/09 15:43:49:647  ACTION: Write PRB FPGA: Address=0x3030 Data=0xBF
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x305E Data=0x35
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x3060 Data=0xD8
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x3062 Data=0x15
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x3066 Data=0x35
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x3068 Data=0xE2
2013/07/09 15:43:49:663  ACTION: Write PRB FPGA: Address=0x306A Data=0xBF
2013/07/09 15:43:49:663  ACTION: Calibrate CC1020
2013/07/09 15:43:49:772  INFO:   CC1020 calibration passed
2013/07/09 15:43:50:069  ACTION: Read PRB FPGA: Address=0x2012 Data=0x00
2013/07/09 15:43:50:069  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x05 Data=0xD8
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x06 Data=0x15
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x07 Data=0x38
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x08 Data=0x35
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x09 Data=0xE2
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x0A Data=0xBF
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x0B Data=0x38
2013/07/09 15:43:50:085  ACTION: Read C1020: Address 0x1D Data=0x00
2013/07/09 15:43:50:100  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/07/09 15:43:50:100  ACTION: Read C1020: Address 0x46 Data=0x66
2013/07/09 15:43:50:100  ACTION: Read C1020: Address 0x47 Data=0x44
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x3026 Data=0xF0
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x3028 Data=0x21
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x302E Data=0xFA
2013/07/09 15:43:50:100  ACTION: Write PRB FPGA: Address=0x3030 Data=0xCB
2013/07/09 15:43:50:116  ACTION: Calibrate CC1020
2013/07/09 15:43:50:210  INFO:   CC1020 calibration passed
2013/07/09 15:43:50:507  ACTION: Read PRB FPGA: Address=0x2012 Data=0x00
2013/07/09 15:43:50:507  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x06 Data=0x21
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x07 Data=0x38
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x08 Data=0x35
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x0B Data=0x38
2013/07/09 15:43:50:522  ACTION: Read C1020: Address 0x1D Data=0x00
2013/07/09 15:43:50:538  ACTION: Read C1020: Address 0x45 Data=0x7C
2013/07/09 15:43:50:538  ACTION: Read C1020: Address 0x46 Data=0x66
2013/07/09 15:43:50:538  ACTION: Read C1020: Address 0x47 Data=0x44
2013/07/09 15:43:50:538  ACTION: Write PRB FPGA: Address=0x1008 Data=0x10
2013/07/09 15:43:50:944  ACTION: Read PRB FPGA: Address=0x1020 Data=0x00
2013/07/09 15:43:50:944  ACTION: Read PRB FPGA: Address=0x1026 Data=0x00
2013/07/09 15:43:50:944  ACTION: Read PRB FPGA: Address=0x1022 Data=0x20
2013/07/09 15:43:50:944  ACTION: Read PRB FPGA: Address=0x1024 Data=0x20
2013/07/09 15:43:50:944  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/09 15:43:50:944  ACTION: Read C1020: Address 0x05 Data=0xD8
2013/07/09 15:43:50:944  ACTION: Read C1020: Address 0x06 Data=0x15
