2013/06/30 18:09:20:671  INFO:   Loaded Symbol File C:\ISV System\Config\FirmwareSymbols\build33136.sym for firmware Build #33136
2013/06/30 18:09:20:734  INFO:   CommunicationSystemLog properties: .\CommunicationSystem.logger.properties
2013/06/30 18:09:20:734  INFO:   CommunicationSystemLog log       : .\logs\prbCalRssiTxScriptLog 2013.06.30 18.09.20_CommunicationSystem.Log
2013/06/30 18:09:28:390  INFO:   Setting the event sink for ScriptEngineProcedure
2013/06/30 18:09:28:390  INFO:   Program parameters checks are enabled
2013/06/30 18:09:28:421  INFO:   ********************************************************************************
2013/06/30 18:09:28:421  INFO:   Starting ScriptEngineProcedure, Assembly  version 
2013/06/30 18:09:28:421  INFO:   Config: ICD (NCommunicationSystem ver: nCommunicationSystem, Version=1.8.2.1, Culture=neutral, PublicKeyToken=56b5378c99c0bcfd; FTDI Driver ver: 2.08.28.0; PRB FPGA ver: 18)
2013/06/30 18:09:28:421  INFO:   Setting the radio board transmit power to level 0x7.
2013/06/30 18:09:28:421  INFO:   Radio board power level set to 7.
2013/06/30 18:09:28:421  INFO:   ECG Timeout Interval set to 10 seconds.
2013/06/30 18:09:28:437  STATE:  Changing state to ScriptExecStateMachine.WaitForNextCmdState, ID[1]
2013/06/30 18:09:28:437  INFO:   FwDvtSystem Started the event processing thread
2013/06/30 18:09:28:546  ACTION: Read PRB FPGA: Address=0x3000 Data=0x12
2013/06/30 18:09:28:578  RESULT: FPGA 0x3000 Expected: 18 Actual: 18
2013/06/30 18:09:28:593  ACTION: Calibrate CC1020
2013/06/30 18:09:28:671  INFO:   CC1020 calibration passed
2013/06/30 18:09:28:687  ACTION: Read C1020: Address 0x04 Data=0x35
2013/06/30 18:09:28:687  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/06/30 18:09:28:703  ACTION: Read C1020: Address 0x06 Data=0x21
2013/06/30 18:09:28:703  ACTION: Read C1020: Address 0x07 Data=0x38
2013/06/30 18:09:28:703  ACTION: Read C1020: Address 0x08 Data=0x35
2013/06/30 18:09:28:703  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/06/30 18:09:28:703  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/06/30 18:09:28:718  ACTION: Read C1020: Address 0x0B Data=0x38
2013/06/30 18:09:28:718  ACTION: Read C1020: Address 0x1D Data=0x00
2013/06/30 18:09:28:718  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/06/30 18:09:28:718  ACTION: Read C1020: Address 0x46 Data=0x66
2013/06/30 18:09:28:718  ACTION: Read C1020: Address 0x47 Data=0x44
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3026 Data=0xD8
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3028 Data=0x15
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x302E Data=0xE2
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3030 Data=0xBF
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x305E Data=0x35
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3060 Data=0xD8
2013/06/30 18:09:28:734  ACTION: Write PRB FPGA: Address=0x3062 Data=0x15
2013/06/30 18:09:28:750  ACTION: Write PRB FPGA: Address=0x3066 Data=0x35
2013/06/30 18:09:28:750  ACTION: Write PRB FPGA: Address=0x3068 Data=0xE2
2013/06/30 18:09:28:750  ACTION: Write PRB FPGA: Address=0x306A Data=0xBF
2013/06/30 18:09:28:750  ACTION: Calibrate CC1020
2013/06/30 18:09:28:843  INFO:   CC1020 calibration passed
2013/06/30 18:09:29:140  ACTION: Read PRB FPGA: Address=0x2012 Data=0x00
2013/06/30 18:09:29:140  ACTION: Read C1020: Address 0x04 Data=0x35
2013/06/30 18:09:29:140  ACTION: Read C1020: Address 0x05 Data=0xD8
2013/06/30 18:09:29:140  ACTION: Read C1020: Address 0x06 Data=0x15
2013/06/30 18:09:29:140  ACTION: Read C1020: Address 0x07 Data=0x38
2013/06/30 18:09:29:140  ACTION: Read C1020: Address 0x08 Data=0x35
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x09 Data=0xE2
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x0A Data=0xBF
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x0B Data=0x38
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x1D Data=0x00
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x46 Data=0x66
2013/06/30 18:09:29:156  ACTION: Read C1020: Address 0x47 Data=0x44
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x3026 Data=0xF0
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x3028 Data=0x21
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x302E Data=0xFA
2013/06/30 18:09:29:156  ACTION: Write PRB FPGA: Address=0x3030 Data=0xCB
2013/06/30 18:09:29:156  ACTION: Calibrate CC1020
2013/06/30 18:09:29:250  INFO:   CC1020 calibration passed
2013/06/30 18:09:29:546  ACTION: Read PRB FPGA: Address=0x2012 Data=0x00
2013/06/30 18:09:29:546  ACTION: Read C1020: Address 0x04 Data=0x35
2013/06/30 18:09:29:546  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/06/30 18:09:29:546  ACTION: Read C1020: Address 0x06 Data=0x21
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x07 Data=0x38
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x08 Data=0x35
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x0B Data=0x38
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x1D Data=0x00
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x46 Data=0x66
2013/06/30 18:09:29:562  ACTION: Read C1020: Address 0x47 Data=0x44
2013/06/30 18:09:29:562  ACTION: Write PRB FPGA: Address=0x1008 Data=0x10
2013/06/30 18:09:29:968  ACTION: Read PRB FPGA: Address=0x1020 Data=0x00
2013/06/30 18:09:29:968  ACTION: Read PRB FPGA: Address=0x1026 Data=0x00
2013/06/30 18:09:29:968  ACTION: Read PRB FPGA: Address=0x1022 Data=0x1F
2013/06/30 18:09:29:968  ACTION: Read PRB FPGA: Address=0x1024 Data=0x1F
2013/06/30 18:09:29:968  ACTION: Read C1020: Address 0x04 Data=0x35
2013/06/30 18:09:29:984  ACTION: Read C1020: Address 0x05 Data=0xD8
2013/06/30 18:09:29:984  ACTION: Read C1020: Address 0x06 Data=0x15
2013/06/30 18:09:30:000  ACTION: Read C1020: Address 0x08 Data=0x35
2013/06/30 18:09:30:000  ACTION: Read C1020: Address 0x09 Data=0xE2
2013/06/30 18:09:30:000  ACTION: Read C1020: Address 0x0A Data=0xBF
2013/06/30 18:09:30:015  ACTION: Write C1020: Address=0x00 Data=0x01
2013/06/30 18:09:30:093  ACTION: Read C1020: Address 0x10 Data=0x22
2013/06/30 18:09:30:187  ACTION: Read C1020: Address 0x42 Data=0x18
2013/06/30 18:09:30:187  ACTION: Read C1020: Address 0x42 Data=0x16
2013/06/30 18:09:30:187  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/06/30 18:09:30:187  ACTION: Read C1020: Address 0x42 Data=0x19
2013/06/30 18:09:30:187  ACTION: Read C1020: Address 0x42 Data=0x18
2013/06/30 18:09:30:203  ACTION: Read C1020: Address 0x42 Data=0x17
2013/06/30 18:09:30:203  ACTION: Read C1020: Address 0x42 Data=0x16
2013/06/30 18:09:30:203  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/06/30 18:09:30:203  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/06/30 18:09:30:203  ACTION: Read C1020: Address 0x42 Data=0x17
2013/06/30 18:09:30:218  ACTION: Write C1020: Address=0x00 Data=0x1F
2013/06/30 18:09:30:312  ACTION: Read C1020: Address 0x0D Data=0x50
2013/06/30 18:09:30:390  ACTION: Read C1020: Address 0x0E Data=0x59
2013/06/30 18:09:30:484  ACTION: Write C1020: Address=0x00 Data=0xC1
2013/06/30 18:09:30:484  ACTION: Write C1020: Address=0x0E Data=0xD9
2013/06/30 18:09:30:562  ACTION: Read C1020: Address 0x0D Data=0x50
2013/06/30 18:09:30:640  ACTION: Read C1020: Address 0x0E Data=0xD9
2013/06/30 18:09:31:140  ACTION: Write C1020: Address=0x0D Data=0x54
2013/06/30 18:09:31:234  ACTION: Read C1020: Address 0x0D Data=0x54
2013/06/30 18:09:31:312  ACTION: Read C1020: Address 0x0E Data=0xD9
2013/06/30 18:09:31:812  ACTION: Write C1020: Address=0x0E Data=0x59
2013/06/30 18:09:31:890  ACTION: Read C1020: Address 0x0D Data=0x54
2013/06/30 18:09:31:984  ACTION: Read C1020: Address 0x0E Data=0x59
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x3026 Data=0xF0
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x3028 Data=0x21
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x302E Data=0xFA
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x3030 Data=0xCB
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x305E Data=0x35
2013/06/30 18:09:32:484  ACTION: Write PRB FPGA: Address=0x3060 Data=0xF0
2013/06/30 18:09:32:500  ACTION: Write PRB FPGA: Address=0x3062 Data=0x21
