2013/07/01 12:16:52:953  INFO:   Loaded Symbol File C:\ISV System\Config\FirmwareSymbols\build33136.sym for firmware Build #33136
2013/07/01 12:16:53:015  INFO:   CommunicationSystemLog properties: .\CommunicationSystem.logger.properties
2013/07/01 12:16:53:015  INFO:   CommunicationSystemLog log       : .\logs\prbRssiScriptLog 2013.07.01 12.16.52_CommunicationSystem.Log
2013/07/01 12:17:00:625  INFO:   Setting the event sink for ScriptEngineProcedure
2013/07/01 12:17:00:625  INFO:   Program parameters checks are enabled
2013/07/01 12:17:00:625  INFO:   ********************************************************************************
2013/07/01 12:17:00:625  INFO:   Starting ScriptEngineProcedure, Assembly  version 
2013/07/01 12:17:00:640  INFO:   Config: ICD (NCommunicationSystem ver: nCommunicationSystem, Version=1.8.2.1, Culture=neutral, PublicKeyToken=56b5378c99c0bcfd; FTDI Driver ver: 2.08.28.0; PRB FPGA ver: 18)
2013/07/01 12:17:00:640  INFO:   Setting the radio board transmit power to level 0x7.
2013/07/01 12:17:00:640  INFO:   Radio board power level set to 7.
2013/07/01 12:17:00:640  INFO:   ECG Timeout Interval set to 10 seconds.
2013/07/01 12:17:00:640  STATE:  Changing state to ScriptExecStateMachine.WaitForNextCmdState, ID[1]
2013/07/01 12:17:00:640  INFO:   FwDvtSystem Started the event processing thread
2013/07/01 12:17:00:671  ACTION: Read PRB FPGA: Address=0x3000 Data=0x12
2013/07/01 12:17:00:703  RESULT: FPGA 0x3000 Expected: 18 Actual: 18
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x3026 Data=0xF0
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x3028 Data=0x21
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x302E Data=0xFA
2013/07/01 12:17:00:734  ACTION: Write PRB FPGA: Address=0x3030 Data=0xCB
2013/07/01 12:17:00:734  ACTION: Calibrate CC1020
2013/07/01 12:17:00:828  INFO:   CC1020 calibration passed
2013/07/01 12:17:00:875  ACTION: Read C1020: Address 0x04 Data=0x35
2013/07/01 12:17:00:875  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/07/01 12:17:00:875  ACTION: Read C1020: Address 0x06 Data=0x21
2013/07/01 12:17:00:875  ACTION: Read C1020: Address 0x07 Data=0x38
2013/07/01 12:17:00:890  ACTION: Read C1020: Address 0x08 Data=0x35
2013/07/01 12:17:00:890  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/07/01 12:17:00:890  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/07/01 12:17:00:890  ACTION: Read C1020: Address 0x0B Data=0x38
2013/07/01 12:17:00:890  ACTION: Read C1020: Address 0x1D Data=0x00
2013/07/01 12:17:00:906  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/07/01 12:17:00:906  ACTION: Read C1020: Address 0x46 Data=0x66
2013/07/01 12:17:00:906  ACTION: Read C1020: Address 0x47 Data=0x44
2013/07/01 12:17:00:906  ACTION: Read C1020: Address 0x10 Data=0x22
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x04 Data=0x35
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x05 Data=0xD8
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x06 Data=0x15
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x08 Data=0x35
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x09 Data=0xE2
2013/07/01 12:17:01:015  ACTION: Write C1020: Address=0x0A Data=0xBF
2013/07/01 12:17:03:031  ACTION: Write C1020: Address=0x00 Data=0x01
2013/07/01 12:17:03:109  ACTION: Read C1020: Address 0x42 Data=0x19
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x13
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x18
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x1B
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x16
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x18
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/07/01 12:17:03:125  ACTION: Read C1020: Address 0x42 Data=0x1E
2013/07/01 12:17:03:140  ACTION: Read C1020: Address 0x42 Data=0x1F
2013/07/01 12:17:03:156  ACTION: Write C1020: Address=0x00 Data=0x1F
2013/07/01 12:17:05:234  ACTION: Write C1020: Address=0x00 Data=0x01
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x16
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x19
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x18
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x1B
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x14
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x1B
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x1A
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x17
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x12
2013/07/01 12:17:05:328  ACTION: Read C1020: Address 0x42 Data=0x18
2013/07/01 12:17:05:328  ACTION: Write C1020: Address=0x00 Data=0x1F
